# mc-number	             name	     mass	    width	deg	Qb	Qs	Qc	Qbot	isospin	charge	decays	   Nyield
#       211	              pi+	  0.14000	0.00000e+00	1	0	  0	0	0	1	  1	  1	0.000643493
# 1:pbar [GeV]	2:m [GeV]	3:Feq 1	4:Feq 2	5:Fshear 1	6:Fshear 2	7:Fshear 3	8:Fbulk 1	9:Fbulk 2	10:Ftemp 1	11:Ftemp 2	12:Fvel 1	13:Fvel 2	14:Fvel 3
    8.72239e-02	    1.40000e-01	    4.83360e-02	    9.63214e-02	    1.25492e-03	    2.74350e-03	    1.40855e-03	    4.37969e-03	    2.62164e-02	    1.08586e-01	    5.37585e-01	    7.22710e-03	    4.67011e-02	    8.32588e-03
    9.08778e-02	    1.40000e-01	    4.92142e-02	    9.84487e-02	    1.37063e-03	    2.89506e-03	    1.46795e-03	    4.03117e-03	    2.64288e-02	    1.10510e-01	    5.51490e-01	    7.56628e-03	    4.69015e-02	    8.72464e-03
    9.45342e-02	    1.40000e-01	    5.00107e-02	    1.00433e-01	    1.48601e-03	    3.05848e-03	    1.51867e-03	    3.65149e-03	    2.66009e-02	    1.12345e-01	    5.64687e-01	    7.88840e-03	    4.70826e-02	    9.11609e-03
    9.81930e-02	    1.40000e-01	    5.07297e-02	    1.02277e-01	    1.59995e-03	    3.23373e-03	    1.56054e-03	    3.24405e-03	    2.67376e-02	    1.14109e-01	    5.77182e-01	    8.19267e-03	    4.72425e-02	    9.50094e-03
    1.01854e-01	    1.40000e-01	    5.13753e-02	    1.03987e-01	    1.71136e-03	    3.42054e-03	    1.59360e-03	    2.81241e-03	    2.68432e-02	    1.15821e-01	    5.88981e-01	    8.47856e-03	    4.73798e-02	    9.88005e-03
    1.05519e-01	    1.40000e-01	    5.19520e-02	    1.05565e-01	    1.81925e-03	    3.61845e-03	    1.61814e-03	    2.36013e-03	    2.69216e-02	    1.17495e-01	    6.00087e-01	    8.74585e-03	    4.74929e-02	    1.02543e-02
    1.09185e-01	    1.40000e-01	    5.24639e-02	    1.07015e-01	    1.92272e-03	    3.82681e-03	    1.63462e-03	    1.89080e-03	    2.69763e-02	    1.19147e-01	    6.10505e-01	    8.99454e-03	    4.75810e-02	    1.06246e-02
    1.12855e-01	    1.40000e-01	    5.29154e-02	    1.08343e-01	    2.02094e-03	    4.04483e-03	    1.64370e-03	    1.40797e-03	    2.70104e-02	    1.20789e-01	    6.20241e-01	    9.22489e-03	    4.76430e-02	    1.09919e-02
    1.16528e-01	    1.40000e-01	    5.33103e-02	    1.09550e-01	    2.11323e-03	    4.27161e-03	    1.64616e-03	    9.15085e-04	    2.70266e-02	    1.22431e-01	    6.29300e-01	    9.43733e-03	    4.76785e-02	    1.13569e-02
    1.20204e-01	    1.40000e-01	    5.36528e-02	    1.10641e-01	    2.19901e-03	    4.50612e-03	    1.64293e-03	    4.15489e-04	    2.70269e-02	    1.24083e-01	    6.37688e-01	    9.63250e-03	    4.76872e-02	    1.17205e-02
